ano,mes,conselho,conta,conta_norm,soma_d,soma_c,n_lancamentos
2022,1,CFC,1.1.1.1.03.01.001,11110301001,3135001.56,3135001.56,44
2022,1,CFC,1.1.1.1.03.02.001,11110302001,7799003.8,6998620.19,194
2022,1,CFC,1.1.1.1.03.02.002,11110302002,0.0,122.5,16
2022,1,CFC,1.1.1.1.05.01.001,11110501001,3470820.87,0.0,22
2022,1,CFC,1.1.1.1.05.02.006,11110502006,43311.38,0.0,1
2022,1,CFC,1.1.1.1.05.02.007,11110502007,42349.47,0.0,1
2022,1,CFC,1.1.1.1.05.02.010,11110502010,42508.11,0.0,1
2022,1,CFC,1.1.1.1.05.02.012,11110502012,42624.84,0.0,1
2022,1,CFC,1.1.1.1.05.02.013,11110502013,3824784.24,0.0,7
2022,1,CFC,1.1.1.1.05.02.014,11110502014,35039.83,0.0,1
2022,1,CFC,1.1.1.1.05.02.016,11110502016,1417.86,0.0,1
2022,1,CFC,1.1.1.1.06.01.016,11110601016,2000.0,0.0,1
2022,1,CFC,1.1.1.1.07.01.002,11110701002,192000.0,191791.87,8
2022,1,CFC,1.1.1.1.07.04.001,11110704001,0.0,49.0,1
2022,1,CFC,1.1.1.1.07.04.002,11110704002,0.0,49.0,1
2022,1,CFC,1.1.1.1.07.04.005,11110704005,0.0,49.0,1
2022,1,CFC,1.1.1.1.07.06.002,11110706002,21633.41,0.0,1
2022,1,CFC,1.1.1.1.07.06.003,11110706003,2117.29,192000.0,3
2022,1,CFC,1.1.1.1.07.06.006,11110706006,1464.0,0.0,1
2022,1,CFC,1.1.1.1.07.06.007,11110706007,20897.04,0.0,1
2022,1,CFC,1.1.1.1.07.06.008,11110706008,3856.58,0.0,1
2022,1,CFC,1.1.2.1.04.01.001,11210401001,146000.0,12429.67,20
2022,1,CFC,1.1.2.1.04.01.002,11210401002,449000.0,61350.43,21
2022,1,CFC,1.1.2.1.04.01.003,11210401003,693000.0,97076.13,22
2022,1,CFC,1.1.2.1.04.01.004,11210401004,147000.0,12272.65,21
2022,1,CFC,1.1.2.1.04.01.005,11210401005,2252000.0,280631.86,21
2022,1,CFC,1.1.2.1.04.01.006,11210401006,1404000.0,155047.14,21
2022,1,CFC,1.1.2.1.04.01.007,11210401007,1454000.0,241833.56,21
2022,1,CFC,1.1.2.1.04.01.008,11210401008,1380000.0,190155.99,22
2022,1,CFC,1.1.2.1.04.01.009,11210401009,1497000.0,248070.75,23
2022,1,CFC,1.1.2.1.04.01.010,11210401010,746000.0,85188.47,21
2022,1,CFC,1.1.2.1.04.01.011,11210401011,6280000.0,1423145.83,22
2022,1,CFC,1.1.2.1.04.01.012,11210401012,958000.0,162118.71,23
2022,1,CFC,1.1.2.1.04.01.013,11210401013,1209000.0,142342.07,22
