ano,conselho,conta,conta_norm,descricao,orcamento_inicial,realizado,eh_folha
2022,CFC,6.2,62,EXECUÇÃO DA RECEITA,93061450.0,81079205.9,0
2022,CFC,6.2.1,621,RECEITAS CORRENTES,69928783.0,79791677.51,0
2022,CFC,6.2.1.1,6211,CONTRIBUIÇÕES,57067000.0,56087715.94,0
2022,CFC,6.2.1.1.02,621102,COTA PARTE,57067000.0,56087715.94,0
2022,CFC,6.2.1.1.02.01,62110201,COTA PARTE,57067000.0,56087715.94,0
2022,CFC,6.2.1.1.02.01.001,62110201001,CRC-AC,146000.0,129914.28,1
2022,CFC,6.2.1.1.02.01.002,62110201002,CRC-AL,449000.0,485429.7,1
2022,CFC,6.2.1.1.02.01.003,62110201003,CRC-AM,693000.0,758306.79,1
2022,CFC,6.2.1.1.02.01.004,62110201004,CRC-AP,147000.0,130996.96,1
2022,CFC,6.2.1.1.02.01.005,62110201005,CRC-BA,2252000.0,2012903.37,1
2022,CFC,6.2.1.1.02.01.006,62110201006,CRC-CE,1404000.0,1221804.56,1
2022,CFC,6.2.1.1.02.01.007,62110201007,CRC-DF,1454000.0,1548747.5,1
2022,CFC,6.2.1.1.02.01.008,62110201008,CRC-ES,1380000.0,1275730.91,1
2022,CFC,6.2.1.1.02.01.009,62110201009,CRC-GO,1497000.0,1577184.33,1
2022,CFC,6.2.1.1.02.01.010,62110201010,CRC-MA,746000.0,700248.44,1
2022,CFC,6.2.1.1.02.01.011,62110201011,CRC-MG,6280000.0,6260776.41,1
2022,CFC,6.2.1.1.02.01.012,62110201012,CRC-MS,958000.0,905996.37,1
2022,CFC,6.2.1.1.02.01.013,62110201013,CRC-MT,1209000.0,1252358.71,1
2022,CFC,6.2.1.1.02.01.014,62110201014,CRC-PA,1097000.0,1012593.5,1
2022,CFC,6.2.1.1.02.01.015,62110201015,CRC-PB,692000.0,648701.4,1
2022,CFC,6.2.1.1.02.01.016,62110201016,CRC-PE,1580000.0,1417985.48,1
2022,CFC,6.2.1.1.02.01.017,62110201017,CRC-PI,686000.0,527052.53,1
2022,CFC,6.2.1.1.02.01.018,62110201018,CRC-PR,4243000.0,3942766.71,1
2022,CFC,6.2.1.1.02.01.019,62110201019,CRC-RJ,5801000.0,5692943.05,1
2022,CFC,6.2.1.1.02.01.020,62110201020,CRC-RN,717000.0,733447.8,1
2022,CFC,6.2.1.1.02.01.021,62110201021,CRC-RO,571000.0,450692.81,1
2022,CFC,6.2.1.1.02.01.022,62110201022,CRC-RR,151000.0,146060.04,1
2022,CFC,6.2.1.1.02.01.023,62110201023,CRC-RS,3832000.0,3649814.59,1
2022,CFC,6.2.1.1.02.01.024,62110201024,CRC-SC,2738000.0,2557329.37,1
2022,CFC,6.2.1.1.02.01.025,62110201025,CRC-SE,400000.0,391579.47,1
2022,CFC,6.2.1.1.02.01.026,62110201026,CRC-SP,15511000.0,16232701.12,1
2022,CFC,6.2.1.1.02.01.027,62110201027,CRC-TO,433000.0,423649.74,1
2022,CFC,6.2.1.2,6212,EXPLORAÇÃO DE BENS E SERVIÇOS,8580000.0,6958106.48,0
2022,CFC,6.2.1.2.02,621202,EXPLORAÇÃO DE SERVIÇOS,8580000.0,6958106.48,0
2022,CFC,6.2.1.2.02.02,62120202,EMOLUMENTOS COM EXPEDIÇÕES DE CARTEIRAS,360000.0,571332.0,0
2022,CFC,6.2.1.2.02.02.001,62120202001,PROFISSIONAIS,360000.0,571332.0,1
